Code,Paper Name,Credits
EEC309,Power Electronics,4
ECC313,Microprocessors and Microcontrollers,3
ECC351,Power Systems II Lab,1
ECC353,Electrical and Electronics Measuring Instruments Lab,1
ECC357,Power Electronics Lab,1
ECC363,Microprocessors and Microcontrollers Lab,1
EEE308,Artificial Intelligence and Machine Learning for Electrical Systems,4
EEE310T,Bio Medical Instrumentation,3
EEE310P,Bio Medical Instrumentation Lab,1
EEE312T,Introduction to Digital Signal Processing,3
EEE312P,Introduction to Digital Signal Processing Lab,1
EEE318,Stochastic Processes and Systems,4
EEE320T,Utilization of Electrical Energy,3
EEE320P,Utilization of Electrical Energy Lab,1
EEE358,Electrical Power Generation Systems,4
EEE322T,Computer Aided Electrical Machine Design,3
EEE322P,Computer Aided Electrical Machine Design Lab,1
EEE324T,Introduction to Data Communication and Networking,3
EEE324P,Introduction to Data Communication and Networking Lab,1
EEE326T,Discrete Control Systems,3
EEE326P,Discrete Control Systems Lab,1
EEE334T,Research Methodology for Electrical and Electronics Engineering,3
EEE334P,Research Methodology for Electrical and Electronics Engineering Lab,1
EEE336T,"Introduction to Transmission Lines, Waveguides and Antenna Design",3
EEE336P,"Introduction to Transmission Lines, Waveguides and Antenna Design Lab",1
EEE340T,Electric Drives,3
EEE340P,Electric Drives Lab,1
EEE356T,Optimization using Controllers,3
EEE356P,Optimization using Controllers Lab,1
EEE360,Process Control,4
EEE362T,VLSI,3
EEE362P,VLSI Lab,1
EEE364T,Systems Design and Simulation,3
EEE364P,Systems Design and Simulation Lab,1
EEE366,Introduction to Information and Coding Theory,4
EEE403,Electricity Distribution Schemes and Policies,4
EEE405T,Mathematical Analysis of Complex Systems,3
EEE405P,Mathematical Analysis of Complex Systems Lab,1
EEE407,Renewable Energy and Policies,4
EEE409T,Solid State Drives,3
EEE409P,Solid State Drives Lab,1
EEE411T,Switchgear and Protection,3
EEE411P,Switchgear and Protection Lab,1
EEE413T,Digital Image Processing,3
EEE413P,Digital Image Processing Lab,1
EEE421T,e Mobility,3
EEE421P,e Mobility Lab,1
EEE423,Energy Conservation Schemes,4
EEE425,Energy Economics and Policies,4
EEE427,High Voltage Engineering,4
EEE429T,Mathematical Model for Reliability of Transmission and Distribution,3
EEE429P,Mathematical Model for Reliability of Transmission and Distribution Lab,1
EEE431,Smart Grid and Distributed Generation,4
EEE433T,Systems Restructuring for Optimization,3
EEE433P,Systems Restructuring for Optimization Lab,1
EEC209,Electrical Materials,3
EEC211,Electrical Machines I,4
EEC257,Electrical Machines I Lab,1
EEC259,Electrical Engineering Workshop,1
ECC218,Electronics II,4
ECC264,Electronics II Lab,1
